4.121136e-2, 4.063841e-1
8.963557e-2, 1.017611e+0
1.397059e-1, 1.772911e+0
1.895471e-1, 1.976015e+0
2.395577e-1, 1.703233e+0
2.825477e-1, 1.390020e+0
3.841585e-1, 1.195520e+0
4.344240e-1, 1.290418e+0
4.816261e-1, 1.549457e+0
5.313666e-1, 1.723798e+0
5.780998e-1, 1.706889e+0
6.332762e-1, 1.639834e+0
6.760373e-1, 1.572909e+0
7.225016e-1, 1.575771e+0
7.788443e-1, 1.564757e+0
8.236479e-1, 1.822360e+0
8.760100e-1, 1.724701e+0
9.228572e-1, 1.742894e+0
9.673814e-1, 1.676677e+0
1.016370e+0, 1.694045e+0
1.033263e+0, 1.559441e+0
1.080732e+0, 1.722059e+0
1.122844e+0, 1.736501e+0
1.167281e+0, 1.881315e+0
1.218557e+0, 1.737440e+0
1.263457e+0, 1.824567e+0
1.314331e+0, 1.661353e+0
1.362944e+0, 1.798300e+0
1.412386e+0, 1.821297e+0
1.461931e+0, 1.774206e+0
1.508299e+0, 1.641286e+0
1.979626e+0, 1.683256e+0
